Timestamp,Package,Phase Function,Status
22550.64,python-3.10.0_alpha5,src_prepare,END
22550.87,python-3.10.0_alpha5,src_configure,BEGIN
22551.02,libpcap-1.10.0,src_configure,END
22551.21,libpcap-1.10.0,src_compile,BEGIN
22552.24,libpcap-1.10.0,src_compile,END
22552.64,libpcap-1.10.0,src_install,BEGIN
22553.18,pidgin-2.14.1,src_prepare,END
22553.34,libpcap-1.10.0,src_install,END
22553.37,pidgin-2.14.1,src_configure,BEGIN
22555.12,libpcap-1.10.0,pkg_preinst,BEGIN
22555.12,libpcap-1.10.0,pkg_preinst,END
22560.53,libpcap-1.10.0,pkg_postinst,BEGIN
22560.53,libpcap-1.10.0,pkg_postinst,END
22561.96,pidgin-2.14.1,src_configure,END
22562.92,pidgin-2.14.1,src_compile,BEGIN
22570.32,python-3.10.0_alpha5,src_configure,END
22570.51,python-3.10.0_alpha5,src_compile,BEGIN
22581.48,python-3.10.0_alpha5,src_compile,END
22581.87,python-3.10.0_alpha5,src_install,BEGIN
22588.67,pidgin-2.14.1,src_compile,END
22589.09,pidgin-2.14.1,src_install,BEGIN
22594.55,pidgin-2.14.1,src_install,END
22597.63,pidgin-2.14.1,pkg_preinst,BEGIN
22597.63,pidgin-2.14.1,pkg_preinst,END
22598.61,python-3.10.0_alpha5,src_install,END
22603.67,pidgin-2.14.1,pkg_postinst,BEGIN
22604.35,pidgin-2.14.1,pkg_postinst,END
22609.76,python-3.10.0_alpha5,pkg_preinst,BEGIN
22609.77,python-3.10.0_alpha5,pkg_preinst,END
22612.76,python-3.10.0_alpha5,pkg_postinst,BEGIN
22612.77,python-3.10.0_alpha5,pkg_postinst,END
